numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
83500603000180-2-000021/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:00:37,2027-05-21T00:00:00,2026-05-22T00:00:00,"CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TRADUÇÃO E INTERPRETAÇÃO SIMULTÂNEA NA LÍNGUA BRASILEIRA DE SINAIS – LIBRAS PARA, DE FORMA PRESENCIAL, PRESTAR SERVIÇOS NO ÂMBITO DAS TRANSMISSÕES AO VIVO DE EVENTOS DA CÂMARA DE VEREADORES DE ITAJAÍ E DAS GRAVAÇÕES EM ESTÚDIO DA TV DOS PROGRAMAS TELEVISIVOS PRODUZIDOS PELA TV CÂMARA DE ITAJAÍ, AMBOS TRANSMITIDOS POR MEIO DE SEU CANAL DE TELEVISÃO, MEIOS ELETRÔNICOS E REDES SOCIAIS, E PARA, TAMBÉM DE FORMA PRESENCIAL, ASSESSORAR EM REUNIÕES E EVENTOS PREVIA E FORMALMENTE REQUISITADOS POR COMISSÕES E/OU MESA DIRETORA DA CVI, SERVINDO DE VOZ AO SURDO PARA QUE SEJA ATENDIDO PELAS PESSOAS OUVINTES PARA A PESSOA SURDA COM A TRADUÇÃO/INTERPRETAÇÃO SIMULTÂNEA DA LÍNGUA PORTUGUESA PARA LIBRAS E/OU DOS OUVINTES PARA A PESSOA SURDA COM A TRADUÇÃO/INTERPRETAÇÃO SIMULTÂNEA DA LÍNGUA PORTUGUESA PARA LIBRAS.",297908.4,297908.4,83500603000180,ITAJAI CAMARA DE VEREADORES
05472936000139-2-000030/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:00:39,2026-11-08T00:00:00,2026-05-20T00:00:00,Fornecimento de Cabos Elétricos de potência destinados à recomposição da Alimentação Elétrica da ESTAÇÃO DE TRATAMENTO DE LODO (ETL) DO SEMASA. Processo de origem: 2026-MAN-102733.,104000.0,104000.0,05472936000139,"SERVICO MUNICIPAL DE AGUA, SANEAMENTO BASICO E INFRA-ESTRUTURA"
00394460005887-2-002008/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:05,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,16000.0,16000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002009/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:06,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,12666.0,12666.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002010/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:06,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,75000.0,75000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002011/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:07,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,64505.0,64505.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002012/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:08,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,40000.0,40000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002013/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:08,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,32000.0,32000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002014/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:09,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,731699.0,731699.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002015/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:09,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,32000.0,32000.0,00394460005887,MINISTERIO DA ECONOMIA
