numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
00394460005887-2-002008/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:05,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,16000.0,16000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002009/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:06,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,12666.0,12666.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002010/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:06,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,75000.0,75000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002011/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:07,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,64505.0,64505.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002012/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:08,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,40000.0,40000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002013/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:08,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,32000.0,32000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002015/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:09,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,32000.0,32000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002016/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:10,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,28000.0,28000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002017/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:10,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,15691.0,15691.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002018/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:10,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,15611.0,15611.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002019/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:11,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,19811.0,19811.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002020/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:11,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,14500.0,14500.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002025/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:13,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,7000.0,7000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002026/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:14,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,15666.0,15666.0,00394460005887,MINISTERIO DA ECONOMIA
