orgao_nome,count
ESTADO DO CEARA,87
MINISTERIO DA ECONOMIA,67
MUNICIPIO DE LEBON REGIS,33
MUNICIPIO DE PINHEIRO PRETO,23
FUNDO MUNICIPAL DE SAUDE DE ITAJAI,23
FUNDO MUNICIPAL DE SAUDE,15
MUNICIPIO DE DOUTOR MAURICIO CARDOSO,15
MUNICIPIO DE TAIO,15
MUNICIPIO DE SAO JOAO BATISTA,13
MUNICIPIO DE NAVEGANTES,12
MUNICIPIO DE BELMONTE,12
MUNICIPIO DE BALNEARIO CAMBORIU,11
MUNICIPIO DE ROMELANDIA,11
FUNDO MUNICIPAL DE SAUDE DE TUNAPOLIS,10
MUNICIPIO DE BRACO DO NORTE,10
FUNDO MUN. DE ASSISTENCIA SOCIAL DE JARAGUA DO SUL-FMAS,10
MUNICIPIO DE PINHALZINHO,10
MUNICIPIO DE SANTA ROSA DO SUL,9
"SERVICO MUNICIPAL DE AGUA, SANEAMENTO BASICO E INFRA-ESTRUTURA",8
FUNDO MUNICIPAL DE SAUDE DE ITUPORANGA,8
MUNICIPIO DE AGUAS DE CHAPECO,7
MUNICIPIO DE BARRA VELHA,7
FUNDO MUNICIPAL DE SAUDE DE GASPAR,7
MUNICIPIO DE CERRO NEGRO,7
FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE SCHROEDER,6
MUNICIPIO DE URUSSANGA,6
MUNICIPIO DE CAMBORIU,6
MUNICIPIO DE TRES BARRAS,6
HOSPITAL MUNICIPAL SANTO ANTONIO,6
MUNICIPIO DE CAMPO BELO DO SUL,6
MUNICIPIO DE TANGARA,6
FUNDO MUNICIPAL DA SAUDE,5
MUNICIPIO DE ARAQUARI,5
MUNICIPIO DE ROQUE GONZALES,5
MUNICIPIO DE SANTO AMARO DA IMPERATRIZ,5
MUNICIPIO DE OTACILIO COSTA,5
MUNICIPIO DE ITAJAI,5
FUNDO MUNICIPAL DE SAUDE DE JARAGUA DO SUL,4
MUNICIPIO DE SEARA,4
MUNICIPIO DE BLUMENAU,4
MUNICIPIO DE ITUPORANGA,4
MUNICIPIO DE PONTE ALTA DO NORTE,4
MUNICIPIO DE CHAPADAO DO LAGEADO,4
PMFG - FUNDO MUNICIPAL DE SAUDE,4
MUNICIPIO DE ALFREDO WAGNER,4
MUNICIPIO DE SANTA CECILIA,3
MUNICIPIO DE CAPINZAL,3
FUNDO MUNICIPAL DE SAUDE DE CAPIVARI DE BAIXO,3
FUNDO MUNICIPAL DE SAUDE DE BARRA VELHA,3
MUNICIPIO DE PRINCESA,3
